Title,Abstract,First Claim,Target
Image steganalysis based on deep learning,"The present invention provides a method for detecting image steganography based on deep learning, which comprises: filtering images having steganographic class label or true class label in a training set with a high-pass filter to obtain a training set including steganographic class residual images and true class residual images; training a deep network model on said training set to obtain a trained deep model for steganalysis; filtering the image to be detected with said high-pass filter to obtain a residual image to be detected; detecting said residual image to be detected on said deep model so as to determine whether said residual image to be detected is a steganographic image. The method for detecting image steganography in the present invention can create an automatic blind steganalysis model through feature learning and can identify steganographic images accurately.","1. A method for detecting image steganography based on deep learning, characterized by comprising:
filtering images having steganographic class label or true class label in a training set with a high-pass filter to obtain a training set including steganographic class residual images and true class residual images;
training a deep network model on said training set to obtain a trained deep network for steganalysis;
filtering the image to be detected with said high-pass filter to obtain a residual image to be detected;
detecting said residual image to be detected on said trained deep network so as to determine whether said residual image to be detected is a steganographic image.",Deep learning
Systems and methods for deep learning microscopy,"A microscopy method includes a trained deep neural network that is executed by software using one or more processors of a computing device, the trained deep neural network trained with a training set of images comprising co-registered pairs of high-resolution microscopy images or image patches of a sample and their corresponding low-resolution microscopy images or image patches of the same sample. A microscopy input image of a sample to be imaged is input to the trained deep neural network which rapidly outputs an output image of the sample, the output image having improved one or more of spatial resolution, depth-of-field, signal-to-noise ratio, and/or image contrast.","1. A microscopy method comprising:
providing a trained deep neural network that is executed by software using one or more processors of a computing device, the trained deep neural network trained with a training set of non-fluorescence images comprising co-registered pairs of high-resolution microscopy images or image patches of a sample and their corresponding low-resolution microscopy images or image patches of the same sample;
inputting a non-fluorescence microscopy input image of a second sample to the trained deep neural network;
outputting an output image of the second sample from the trained deep neural network, the output image having improved one or more of spatial resolution, depth-of-field, signal-to-noise ratio, and/or image contrast; and
wherein the non-fluorescence microscopy input image comprises one of a bright-field microscopy image, a holographic microscopy image, a dark-field microscopy image, and an optical coherence tomography (OCT) image.",Deep learning
Multi-scale deep learning system,"A system for identifying objects in an image is provided. The system identifies segments of an image that may contain objects. For each segment, the system generates a segment score by inputting to a multi-scale neural network windows of multiple scales that include the segment that have been resampled to a fixed window size. A multi-scale neural network includes a feature extracting convolutional neural network (â€œfeCNNâ€) for each scale and a classifier that inputs each feature of each feCNN. The segment score indicates whether the segment contains an object. The system generates a pixel score for pixels of the image. The pixel score for a pixel indicates that that pixel is within an object based on the segment scores of segments that contain that pixel. The system then identifies the object based on the pixel scores of neighboring pixels.","1. A method performed by a computing system, the method comprising, for each of a plurality of segments of an image:
identifying a bounding box for the segment;
for each of a plurality of window sizes,
extracting a window of that window size that includes the bounding box;
resampling the extracted window to a resampled window of a fixed window size; and
providing the resampled window of the fixed window size for the segment as input to a feature extracting convolutional neural network (â€œfeCNNâ€) for that window size;
executing the feCNNs to extract features for each resampled window; and
executing a classifier with the extracted features of the feCNNs as inputs to generate a segment probability that the segment relates to an object of interest.",Deep learning
Image matting using deep learning,"Methods and systems are provided for generating mattes for input images. A neural network system can be trained where the training includes training a first neural network that generates mattes for input images where the input images are synthetic composite images. Such a neural network system can further be trained where the training includes training a second neural network that generates refined mattes from the mattes produced by the first neural network. Such a trained neural network system can be used to input an image and trimap pair for which the trained system will output a matte. Such a matte can be used to extract an object from the input image. Upon extracting the object, a user can manipulate the object, for example, to composite the object onto a new background.","1. A computer-implemented method for training a neural network system to generate mattes for images, the method comprising:
inputting, into a first neural network, a training image and trimap pair, the trimap indicating a blended region in which one or more pixels include an unknown combination of foreground and background colors;
determining, by the first neural network, a percentage of foreground color for each of the one or more pixels in the blended region, the first neural network using color, structure, and texture information to determine percentages of foreground color in association with the one or more pixels;
generating, by the first neural network, a training matte for the training image using the percentages of foreground color for each of the one or more pixels in the blended region;
identifying, by the first neural network, error associated with the training matte using a loss function; and
adjusting the first neural network based on the identified error associated with the training matte.",Deep learning
Video frame synthesis with deep learning,"The present disclosure provides systems and methods that leverage machine-learned models (e.g., neural networks) to provide video frame synthesis. In particular, the systems and methods of the present disclosure can include or otherwise leverage a machine-learned video frame synthesis model to allow for video frames to be synthesized from videos. In one particular example, the video frame synthesis model can include a convolutional neural network having a voxel flow layer and provides one or more synthesized video frames as part of slow-motion video.","1. A computer-implemented method for video frame synthesis, the method comprising:
receiving, by one or more computing devices, a video;
inputting, by the one or more computing devices, a first set of sequential frame data descriptive of the video into a machine-learned video frame synthesis model, wherein the machine-learned video frame synthesis model comprises at least one convolutional neural network having a voxel flow layer, the at least one convolutional neural network is at least partially trained using unsupervised learning to predict a voxel flow field comprising a per-pixel, 3D optical flow vector across space and time;
receiving, by the one or more computing devices, one or more synthesized frames from the video, the one or more synthesized frames output by the machine-learned video frame synthesis model; and
providing, by the one or more computing devices, information regarding the one or more synthesized frames.",Deep learning
Deep learning for tooth detection and evaluation,"A machine learning model is trained to define bounding shapes around teeth in images. The machine learning model is trained by receiving a training dataset comprising a plurality of images, each image of the plurality of images comprising a face and a provided bounding shape around teeth in the image. The training dataset is input into an untrained machine learning model. The untrained machine learning model is trained based on the training dataset to generate a trained machine learning model that defines bounding shapes around teeth in images, wherein for an input image the trained machine learning model is to output a mask that defines a bounding shape around teeth of the input image, wherein the mask indicates, for each pixel of the input image, whether that pixel is inside of a defined bounding shape or is outside of the defined bounding shape.","1. A method comprising:
inputting a training dataset into an untrained machine learning model;
training the untrained machine learning model based on the training dataset to generate a trained machine learning model that defines bounding shapes around teeth depicted in images of faces of patients;
receiving an image of a face of a patient, the image including a depiction of teeth of the patient;
processing the image of the face using the trained machine learning model;
associating a first bounding shape with a first plurality of teeth of the teeth depicted in the image of the face of the patient using the trained machine learning model, wherein the first bounding shape comprises an object bounding the first plurality of teeth of the patient;
determining, for each pixel in the image of the face of the patient, whether the pixel is associated with a first region inside of the first bounding shape or a second region outside of the first bounding shape;
generating a mask for the image of the face of the patient, wherein each entry in the mask is associated with a specific pixel in the image and indicates for the specific pixel whether the specific pixel is associated with the first region inside of the first bounding shape or the second region outside of the first bounding shape; and
cropping the image of the face of the patient based on the mask to remove the second region outside of the first bounding shape, wherein the cropped image comprises depictions of the first plurality of teeth.",Deep learning
Automated measurement based on deep learning,"A framework for automated measurement. In accordance with one aspect, the framework detects a centerline point of a structure of interest in an image. A centerline of the structure of interest may be traced based on the detected centerline point. A trained segmentation learning structure may be used to generate one or more contours of the structure of interest along the centerline. One or more measurements may then be extracted from the one or more contours.","1. A system for automated measurement, comprising:
a non-transitory memory device for storing computer readable program code; and
a processor device in communication with the memory device, the processor being operative with the computer readable program code to perform steps including
receiving an image of an aorta,
detecting a centerline point of the aorta in the image,
tracing a centerline of the aorta using the detected centerline point as a starting point,
generating, by a trained segmentation learning structure, one or more contours of cross-sections of the aorta along the centerline, wherein the trained segmentation learning structure comprises a deep learning architecture trained by two-dimensional cross-sectional images of the aorta,
extracting one or more measurements from the one or more contours, and
presenting the one or more measurements in a graphical user interface.",Deep learning
Approximate synchronization for parallel deep learning,"Techniques facilitating synchronization of processing engines for parallel deep learning are provided. In one example, a first processing component associated with a processor and processing components can: generate first output data based on input data associated with a machine learning process, wherein the processing components are communicatively coupled with an assignment component via a network; transmit the first output data to a second processing component of the processing components, wherein the first processing component and the second processing component comprise a first group of the processing components and the first group of the processing components is determined by the assignment component based on a first defined criterion; receive communication data generated by the second processing component; and generate second output data based on the communication data, wherein the second output data is an updated version of the first output data stored in the memory of the first processing component.","1. A computer program product for deep learning, the computer program product comprising a non-transitory computer readable storage medium having program instructions embodied therewith, the program instructions executable by a processing component to cause the processing component to:
generate, by the processing component, first output data based on first input data associated with machine learning and received by the processing component and one or more other processing components;
transmit, by the processing component, the first output data to a first processing component from the one or more other processing components, wherein the first processing component is determined by the processing component or the one or more other processing components, wherein the processing component and the first processing component are operated in synchronization for the deep learning, and wherein the first output data is stored in a memory operatively coupled to the processing component;
generate, by the processing component, second output data based on the first output data and communication data that is generated by the first processing component; and
transmit, by the processing component, the second output data to a second processing component from the processing component, wherein the second processing component is determined by the processing component or the one or more other processing components, and wherein the processing component and the second processing component are operated in synchronization for the deep learning.",Deep learning
Tomographic reconstruction based on deep learning,"The present approach relates to the use of machine learning and deep learning systems suitable for solving large-scale, space-variant tomographic reconstruction and/or correction problems. In certain embodiments, a tomographic transform of measured data obtained from a tomography scanner is used as an input to a neural network. In accordance with certain aspects of the present approach, the tomographic transform operation(s) is performed separate from or outside the neural network such that the result of the tomographic transform operation is instead provided as an input to the neural network. In addition, in certain embodiments, one or more layers of the neural network may be provided as wavelet filter banks.","1. A method, comprising:
obtaining measured data from a tomography scanner;
calculating one or more tomographic transforms of the measured data, wherein the one or more tomographic transforms comprise at least one of a backprojection, a weighted backprojection, a reprojection, a plurality of diagonal elements of a Fisher information matrix, a variance image, a noise correlation image, or a polynomial of the Fisher information matrix;
providing inputs to a trained neural network, wherein the inputs comprise the one or more tomographic transforms and an input reconstructed image, and the input reconstructed image comprises a filtered backprojection image with a special filter kernel, wherein the filter coefficients are selected that preserve the original sinogram after a reprojection; and
obtaining one or more outputs from the trained neural network based on the inputs.",Deep learning
Scalable deep learning video analytics,"In one embodiment, a method includes receiving training data, the training data including training video data representing video of a location in a quiescent state, training a neural network using the training data to obtain a plurality of metrics, receiving current data, the current data including current video data representing video of the location at a current time period, generating a reconstruction error based on the plurality of metrics and the current video data in the embedded space, and generating, in response to determining that the reconstruction error is greater than a threshold, a notification indicative of the location being in a non-quiescent state.","1. A method comprising:
receiving training data, the training data including training video data representing video of a location in a quiescent state;
training a neural network using the training data to obtain a plurality of metrics;
receiving current data, the current data including current video data representing video of the location at a current time period;
generating a reconstruction error based on the plurality of metrics and the current video data; and
generating, in response to determining that the reconstruction error is greater than a threshold, a notification indicative of the location being in a non-quiescent state.",Deep learning
Deep learning bias detection in text,"In one embodiment, a method includes obtaining text from a user, applying the text to a deep learning neural network to generate a plurality of bias coordinates defining a point in an embedded space, and, in response to determining that at least one of the plurality of bias coordinates exceeds a threshold, providing an indication of bias to the user.","1. A method comprising:
obtaining text from a user;
applying the text to a deep learning neural network to generate a plurality of bias coordinates defining a point in an embedded space, wherein the embedded space is a multi-dimensional vector space defined by the plurality of bias coordinates, each dimension of the embedded space corresponding to a respective bias and a size of each bias coordinate corresponding to an amount of bias; and
in response to determining that at least one of the plurality of bias coordinates satisfies a bias threshold, providing an indication of bias to the user.",Deep learning
Active view planning by deep learning,"A system and method that identifies an object and a viewpoint from an image with a probability that satisfies a predefined criterion is described. An active view planning application receives a first image, performs recognition on the first image to determine an object, a viewpoint and a probability of recognition, determines a first expected gain in the probability of recognition when a first action is taken and a second expected gain in the probability of recognition when a second action is taken, and identifies a next action from the first action and the second action based on an increase in expected gains.","1. A computer-implemented method comprising:
receiving, by a computing device, a first image;
performing, by the computing device, recognition on the first image using a deep neural network;
determining, by the computing device, a probability of recognition for an object based on performing the recognition on the first image, the probability of recognition for the object identifying an extent of certainty about the image including the object and being captured at a first viewpoint;
determining, by the computing device, whether the probability of recognition for the object satisfies a predetermined threshold;
responsive to determining that the probability of recognition for the object does not satisfy the predetermined threshold, determining, by the computing device, a first expected gain in the probability of recognition when a first action is taken and a second expected gain in the probability of recognition when a second action is taken, the first action and the second action belonging to a set of actions describing receiving a second image for increasing the probability of recognition; and
identifying a next action from the first action and the second action based on an increase in expected gains.",Deep learning
Deep learning-based store realograms,"Systems and techniques are provided for tracking inventory items in an area of real space. A plurality of cameras, or other sensors, produce respective sequences of images in corresponding fields of view in the real space. The field of view of each camera overlaps with the field of view of at least one other camera. The system is coupled to the plurality of cameras and uses the sequences of images produced by at least two cameras in the plurality of cameras to identify inventory events. The inventory event includes an item identifier, a location and a timestamp. A plurality of cells having coordinates in the area of real space are stored as a data set in the memory. The processing system calculates scores at a scoring time, for inventory items having locations matching particular cells using respective counts of inventory events.","1. A system for tracking inventory items in an area of real space, comprising:
a plurality of sensors, sensors in the plurality of sensors producing respective sequences of images of corresponding fields of view in the real space, the field of view of each sensor overlapping with the field of view of at least one other sensor in the plurality of sensors; and
a processing system coupled to the plurality of sensors, the processing system including logic that uses the sequences of images produced by at least two sensors in the plurality of sensors to identify inventory events, and in response to the inventory events, to track locations of inventory items in the area of real space, logic to match locations of inventory items with coordinates of cells in a plurality of cells having coordinates in the area of real space, and to maintain a data representing inventory items matched with cells in the plurality of cells, and logic that calculates scores at a scoring time for inventory items having locations matching particular cells, the scores based on counts of inventory events.",Deep learning
Methods for explainability of deep-learning models,"Embodiments are disclosed for health assessment and diagnosis implemented in an artificial intelligence (AI) system. In an embodiment, a method comprises: feeding a first set of input features to the AI model; obtaining a first set of raw output predictions from the model; determining a first set of impact scores for the input features fed into the model; training a neural network with the first set of impact scores as input to the network and pre-determined sentences describing the model's behavior as output; feeding a second set of input features to the AI model; obtaining a second set of raw output predictions from the model; determining a second set of impact scores based on the second set of output predictions; feeding the second set of impact scores to the neural network; and generating a sentence describing the AI model's behavior on the second set of input features.","1. A method of interpreting an artificial intelligence (AI) model prediction, comprising:
feeding a first set of input features to the AI model;
obtaining, using one or more processors, a first set of raw output predictions from the model;
determining, using the one or more processors, a first set of impact scores for one or more of the input features fed into the model;
training a neural network with the first set of impact scores as input to the network and pre-determined sentences describing the model's behavior as output;
feeding a second set of input features to the AI model;
obtaining, using one or more processors, a second set of raw output predictions from the model;
determining a second set of impact scores based on the second set of output predictions;
feeding the second set of impact scores to the neural network; and
generating a sentence describing the AI model's behavior on the second set of input features.",Deep learning
